27.03.2024 - 08:31:17 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/Season 01
27.03.2024 - 08:31:17 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/Season 01
27.03.2024 - 08:31:17 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/Season 01
27.03.2024 - 08:31:17 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/Season 01
27.03.2024 - 08:31:21 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:41 - valid Season found! >>> 1
27.03.2024 - 08:31:21 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:41 - valid Season found! >>> 1
27.03.2024 - 08:31:21 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:41 - valid Season found! >>> 1
27.03.2024 - 08:31:21 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:41 - valid Season found! >>> 1
27.03.2024 - 08:31:21 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:41 - valid Season found! >>> 1
27.03.2024 - 08:31:21 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:41 - valid Season found! >>> 1
27.03.2024 - 08:31:21 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:46 - Created episode counter for season >>> 1 >>> {1: 0}
27.03.2024 - 08:31:21 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:46 - Created episode counter for season >>> 1 >>> {1: 0}
27.03.2024 - 08:31:21 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:46 - Created episode counter for season >>> 1 >>> {1: 0}
27.03.2024 - 08:31:21 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:46 - Created episode counter for season >>> 1 >>> {1: 0}
