09.04.2024 - 08:59:09 | __chat_bot__ |  20256  - DEBUG    - main.py   :228 - Startup...
09.04.2024 - 09:01:17 | __chat_bot__ |  13980  - DEBUG    - main.py   :230 - Startup...
09.04.2024 - 09:01:49 | __chat_bot__ |  16512  - DEBUG    - main.py   :231 - Startup...
09.04.2024 - 09:02:24 | __chat_bot__ |  30240  - DEBUG    - main.py   :231 - Startup...
09.04.2024 - 09:02:47 | __chat_bot__ |  23208  - DEBUG    - main.py   :231 - Startup...
09.04.2024 - 09:12:18 | __chat_bot__ |  29276  - DEBUG    - main.py   :233 - Startup...
09.04.2024 - 09:12:34 | __chat_bot__ |  29276  - DEBUG    - main.py   :124 - coordinates changed >>> x=2226, y=60
09.04.2024 - 09:12:37 | __chat_bot__ |  29276  - DEBUG    - main.py   :124 - template selected >>> C:/Users/hildwein/Documents/GitHub/Python_Own/Annoying/chatbot/src/templates_messages.txt
09.04.2024 - 09:12:40 | __chat_bot__ |  29276  - DEBUG    - main.py   :244 - Startup Chat-Bot >>> {'x': 2226, 'y': 60, 'delay_min': 1, 'delay_max': 8, 'template_file': 'C:/Users/hildwein/Documents/GitHub/Python_Own/Annoying/chatbot/src/templates_messages.txt'}
09.04.2024 - 09:12:53 | __chat_bot__ |  13424  - DEBUG    - main.py   :124 - Message sent >>> Vatikanstadt
09.04.2024 - 09:13:01 | __chat_bot__ |  13424  - DEBUG    - main.py   :124 - Message sent >>> Nicaragua
09.04.2024 - 09:13:04 | __chat_bot__ |  13424  - DEBUG    - main.py   :124 - Message sent >>> Suriname
09.04.2024 - 09:13:11 | __chat_bot__ |  13424  - DEBUG    - main.py   :124 - Message sent >>> Bulgarien
09.04.2024 - 09:13:19 | __chat_bot__ |  13424  - DEBUG    - main.py   :124 - Message sent >>> Libanon
09.04.2024 - 09:13:25 | __chat_bot__ |  13424  - DEBUG    - main.py   :124 - Message sent >>> Malediven
09.04.2024 - 09:13:30 | __chat_bot__ |  13424  - DEBUG    - main.py   :124 - Message sent >>> Malaysia
09.04.2024 - 09:13:31 | __chat_bot__ |  13424  - DEBUG    - main.py   :124 - Message sent >>> Tunesien
09.04.2024 - 09:15:57 | __chat_bot__ |  30324  - DEBUG    - main.py   :228 - Startup...
09.04.2024 - 09:16:06 | __chat_bot__ |  30324  - DEBUG    - main.py   :122 - coordinates changed >>> x=2226, y=60
09.04.2024 - 09:16:10 | __chat_bot__ |  30324  - DEBUG    - main.py   :122 - template selected >>> C:/Users/hildwein/Documents/GitHub/Python_Own/Annoying/chatbot/src/templates_messages.txt
09.04.2024 - 09:16:11 | __chat_bot__ |  30324  - DEBUG    - main.py   :239 - Startup Chat-Bot >>> {'x': 2226, 'y': 60, 'delay_min': 1, 'delay_max': 8, 'template_file': 'C:/Users/hildwein/Documents/GitHub/Python_Own/Annoying/chatbot/src/templates_messages.txt'}
09.04.2024 - 09:16:26 | __chat_bot__ |  16508  - DEBUG    - main.py   :122 - Message sent >>> Georgien
09.04.2024 - 09:16:27 | __chat_bot__ |  16508  - DEBUG    - main.py   :122 - Message sent >>> Eritrea
09.04.2024 - 09:16:29 | __chat_bot__ |  16508  - DEBUG    - main.py   :122 - Message sent >>> Schweden
09.04.2024 - 09:17:25 | __chat_bot__ |  9732   - DEBUG    - main.py   :228 - Startup...
09.04.2024 - 09:17:37 | __chat_bot__ |  9732   - DEBUG    - main.py   :122 - template selected >>> C:/Users/hildwein/Documents/GitHub/Python_Own/Annoying/chatbot/src/templates_messages.txt
09.04.2024 - 09:17:38 | __chat_bot__ |  9732   - DEBUG    - main.py   :122 - coordinates changed >>> x=400, y=900
09.04.2024 - 09:17:40 | __chat_bot__ |  9732   - DEBUG    - main.py   :239 - Startup Chat-Bot >>> {'x': 400, 'y': 900, 'delay_min': 1, 'delay_max': 8, 'template_file': 'C:/Users/hildwein/Documents/GitHub/Python_Own/Annoying/chatbot/src/templates_messages.txt'}
09.04.2024 - 09:17:56 | __chat_bot__ |  9732   - DEBUG    - main.py   :239 - Startup Chat-Bot >>> {'x': 400, 'y': 900, 'delay_min': 1, 'delay_max': 8, 'template_file': 'C:/Users/hildwein/Documents/GitHub/Python_Own/Annoying/chatbot/src/templates_messages.txt'}
09.04.2024 - 09:17:56 | __chat_bot__ |  5224   - DEBUG    - main.py   :122 - Message sent >>> Niger
09.04.2024 - 09:17:58 | __chat_bot__ |  5224   - DEBUG    - main.py   :122 - Message sent >>> Malaysia
09.04.2024 - 09:17:59 | __chat_bot__ |  5224   - DEBUG    - main.py   :122 - Message sent >>> Kolumbien
09.04.2024 - 09:18:07 | __chat_bot__ |  9732   - DEBUG    - main.py   :239 - Startup Chat-Bot >>> {'x': 400, 'y': 900, 'delay_min': 1, 'delay_max': 8, 'template_file': 'C:/Users/hildwein/Documents/GitHub/Python_Own/Annoying/chatbot/src/templates_messages.txt'}
09.04.2024 - 09:18:25 | __chat_bot__ |  20988  - DEBUG    - main.py   :122 - Message sent >>> Vereinigtes K̦nigreich
09.04.2024 - 09:18:33 | __chat_bot__ |  20988  - DEBUG    - main.py   :122 - Message sent >>> Kenia
09.04.2024 - 09:18:34 | __chat_bot__ |  20988  - DEBUG    - main.py   :122 - Message sent >>> Tschad
09.04.2024 - 09:18:39 | __chat_bot__ |  20988  - DEBUG    - main.py   :122 - Message sent >>> Namibia
09.04.2024 - 09:18:45 | __chat_bot__ |  20988  - DEBUG    - main.py   :122 - Message sent >>> Kolumbien
09.04.2024 - 09:18:51 | __chat_bot__ |  20988  - DEBUG    - main.py   :122 - Message sent >>> Botswana
09.04.2024 - 09:18:55 | __chat_bot__ |  20988  - DEBUG    - main.py   :122 - Message sent >>> Kongo, Republik
09.04.2024 - 09:18:56 | __chat_bot__ |  20988  - DEBUG    - main.py   :122 - Message sent >>> Tschechien
09.04.2024 - 09:19:00 | __chat_bot__ |  20988  - DEBUG    - main.py   :122 - Message sent >>> Kirgisistan
09.04.2024 - 09:22:17 | __chat_bot__ |  28924  - DEBUG    - main.py   :229 - Startup...
09.04.2024 - 09:22:21 | __chat_bot__ |  28924  - DEBUG    - main.py   :122 - template selected >>> C:/Users/hildwein/Documents/GitHub/Python_Own/Annoying/chatbot/src/templates_messages.txt
09.04.2024 - 09:22:31 | __chat_bot__ |  28924  - DEBUG    - main.py   :122 - coordinates changed >>> x=2226, y=60
09.04.2024 - 09:22:37 | __chat_bot__ |  28924  - DEBUG    - main.py   :240 - Startup Chat-Bot >>> {'x': 2226, 'y': 60, 'delay_min': 1, 'delay_max': 8, 'template_file': 'C:/Users/hildwein/Documents/GitHub/Python_Own/Annoying/chatbot/src/templates_messages.txt'}
09.04.2024 - 09:22:51 | __chat_bot__ |  29192  - DEBUG    - main.py   :122 - Message sent >>> Uzbekistan
09.04.2024 - 09:22:59 | __chat_bot__ |  29192  - DEBUG    - main.py   :122 - Message sent >>> Liechtenstein
09.04.2024 - 09:23:00 | __chat_bot__ |  29192  - DEBUG    - main.py   :122 - Message sent >>> Albania
09.04.2024 - 09:23:06 | __chat_bot__ |  29192  - DEBUG    - main.py   :122 - Message sent >>> Tonga
09.04.2024 - 09:23:14 | __chat_bot__ |  29192  - DEBUG    - main.py   :122 - Message sent >>> Mongolia
09.04.2024 - 09:23:22 | __chat_bot__ |  29192  - DEBUG    - main.py   :122 - Message sent >>> Czech Republic
09.04.2024 - 09:23:25 | __chat_bot__ |  29192  - DEBUG    - main.py   :122 - Message sent >>> Korea, North
09.04.2024 - 09:23:27 | __chat_bot__ |  29192  - DEBUG    - main.py   :122 - Message sent >>> Costa Rica
09.04.2024 - 09:23:31 | __chat_bot__ |  29192  - DEBUG    - main.py   :122 - Message sent >>> Nigeria
09.04.2024 - 09:23:33 | __chat_bot__ |  29192  - DEBUG    - main.py   :122 - Message sent >>> Vanuatu
09.04.2024 - 09:23:41 | __chat_bot__ |  29192  - DEBUG    - main.py   :122 - Message sent >>> Dominica
09.04.2024 - 09:23:43 | __chat_bot__ |  29192  - DEBUG    - main.py   :122 - Message sent >>> Taiwan
09.04.2024 - 09:50:45 | __chat_bot__ |  16160  - DEBUG    - main.py   :229 - Startup...
09.04.2024 - 11:41:12 | __chat_bot__ |  15060  - DEBUG    - main.py   :229 - Startup...
09.04.2024 - 12:10:03 | __chat_bot__ |  7920   - DEBUG    - main.py   :229 - Startup...
09.04.2024 - 12:10:08 | __chat_bot__ |  14948  - DEBUG    - main.py   :229 - Startup...
09.04.2024 - 12:10:28 | __chat_bot__ |  28888  - DEBUG    - main.py   :229 - Startup...
09.04.2024 - 12:10:34 | __chat_bot__ |  1384   - DEBUG    - main.py   :229 - Startup...
09.04.2024 - 12:10:45 | __chat_bot__ |  28188  - DEBUG    - main.py   :229 - Startup...
09.04.2024 - 12:10:50 | __chat_bot__ |  14912  - DEBUG    - main.py   :229 - Startup...
09.04.2024 - 12:13:54 | __chat_bot__ |  22340  - DEBUG    - main.py   :229 - Startup...
09.04.2024 - 12:15:03 | __chat_bot__ |  22340  - DEBUG    - main.py   :122 - template selected >>> C:/Users/hildwein/Documents/GitHub/Python_Own/Drafts/chatbot/src/templates_messages.txt
09.04.2024 - 12:15:09 | __chat_bot__ |  22340  - DEBUG    - main.py   :122 - coordinates changed >>> x=2226, y=60
09.04.2024 - 12:15:15 | __chat_bot__ |  22340  - DEBUG    - main.py   :240 - Startup Chat-Bot >>> {'x': 2226, 'y': 60, 'delay_min': 1, 'delay_max': 8, 'template_file': 'C:/Users/hildwein/Documents/GitHub/Python_Own/Drafts/chatbot/src/templates_messages.txt'}
09.04.2024 - 12:15:26 | __chat_bot__ |  33404  - DEBUG    - main.py   :122 - Message sent >>> Luxembourg
09.04.2024 - 12:15:33 | __chat_bot__ |  33404  - DEBUG    - main.py   :122 - Message sent >>> Tajikistan
09.04.2024 - 12:15:37 | __chat_bot__ |  33404  - DEBUG    - main.py   :122 - Message sent >>> Qatar
09.04.2024 - 12:15:38 | __chat_bot__ |  33404  - DEBUG    - main.py   :122 - Message sent >>> India
09.04.2024 - 12:15:45 | __chat_bot__ |  33404  - DEBUG    - main.py   :122 - Message sent >>> East Timor
09.04.2024 - 12:15:54 | __chat_bot__ |  33404  - DEBUG    - main.py   :122 - Message sent >>> Portugal
09.04.2024 - 12:16:36 | __chat_bot__ |  22340  - DEBUG    - main.py   :122 - coordinates changed >>> x=343, y=45454
09.04.2024 - 12:17:00 | __chat_bot__ |  22340  - DEBUG    - main.py   :122 - delay changed >>> min=20, max=50
09.04.2024 - 12:17:33 | __chat_bot__ |  32168  - DEBUG    - main.py   :229 - Startup...
09.04.2024 - 12:18:09 | __chat_bot__ |  32168  - DEBUG    - main.py   :122 - template selected >>> C:/Users/hildwein/Documents/GitHub/Python_Own/Drafts/chatbot/src/templates_messages.txt
09.04.2024 - 12:18:10 | __chat_bot__ |  32168  - DEBUG    - main.py   :240 - Startup Chat-Bot >>> {'x': 0, 'y': 0, 'delay_min': 1, 'delay_max': 8, 'template_file': 'C:/Users/hildwein/Documents/GitHub/Python_Own/Drafts/chatbot/src/templates_messages.txt'}
09.04.2024 - 12:18:21 | __chat_bot__ |  32756  - DEBUG    - main.py   :122 - Message sent >>> Italy
09.04.2024 - 13:22:13 | __chat_bot__ |  28676  - DEBUG    - main.py   :229 - Startup...
